,Model,Training Set R Squared,Test Set R Squared,Mean Absolute Error,Mean Sqaured Error,Root Mean Squared Error,Root Mean Squared Percent Error,Mean Absolute Percentage Error
0,BOW XGBoost,0.9360377674907505,0.5555837129258594,16380.684030812938,483159601.99613196,21980.891747063673,26.844868571233356,19.121423491960876
1,BOW XGBoost log(y),0.917346313,0.54027128,0.182552784,0.056267206,0.237207096,2.096247458,1.607735776
2,TF-IDF XGBoost,0.9485961181128182,0.5198131551245401,17301.34247978584,522048564.8292646,22848.38210528843,27.742473550855234,20.28872499344958
3,TF-IDF XGBoost log(y),0.9301902800117023,0.5283092170537151,0.18582133115176633,0.057731269399826035,0.2402733222807435,2.120010564473618,1.6362607935124545
