,industry,rank,search_city,search_job,avg_sal,years_exp,degrees_total,sen_job_titles_total,languages_total,visualization_total,big_data_total,cloud_total,platform_total,ds_concepts_total,deep_learning_totals,log_avg_sal
132,8,4.3,4,1,60000.0,1,1,0,1,0,0,0,0,2,0,11.002116507732017
133,4,4.6,4,1,75500.0,4,1,0,2,2,0,0,1,1,0,11.231901180182515
135,11,4.1,4,1,85500.0,3,1,0,0,0,0,1,0,1,0,11.356283350762888
136,15,2.7,4,1,59000.0,4,0,0,0,1,0,0,1,1,0,10.985309671896763
137,10,2.4,4,1,54000.0,3,2,0,2,0,0,0,0,1,0,10.896757843893464
138,11,3.9,4,1,71500.0,2,1,0,0,0,0,0,1,0,0,11.177466714598282
140,11,4.0,5,1,66500.0,5,1,0,2,0,0,0,0,2,0,11.104972264124868
141,11,3.4,5,1,57500.0,3,1,0,2,1,0,0,0,1,0,10.959557617938563
142,14,3.6,5,1,87500.0,2,2,0,5,1,2,0,0,0,0,11.37940550085183
143,11,3.4,5,1,57500.0,3,1,0,1,0,0,0,2,0,0,10.959557617938563
144,11,4.7,5,1,74000.0,3,1,0,1,0,0,0,0,1,0,11.211833885608513
145,13,3.7,5,1,140500.0,3,1,1,2,1,2,1,0,0,1,11.852969885168331
146,22,4.0,5,1,74500.0,4,1,0,3,2,0,0,1,2,0,11.218567827096358
147,9,3.8,5,1,116500.0,8,1,0,1,0,1,0,0,1,0,11.665655135642039
148,5,4.1,5,1,70500.0,5,2,0,3,3,0,2,0,0,0,11.163382173096926
149,11,3.0,5,1,57000.0,4,2,0,2,1,0,0,0,0,0,10.950824090522445
150,12,4.2,5,1,74500.0,3,0,0,3,1,0,0,0,0,0,11.218567827096358
151,9,3.8,5,1,62000.0,3,1,0,2,2,1,0,1,1,0,11.034905792929415
152,12,5.0,5,1,85500.0,4,0,0,2,0,0,0,0,0,0,11.356283350762888
153,12,5.0,5,1,85000.0,5,0,0,1,1,0,0,0,2,0,11.350418300109132
154,12,4.1,5,1,66000.0,2,1,0,2,1,0,0,0,1,0,11.097425172408931
155,12,3.8,5,1,47000.0,3,1,0,2,4,0,1,0,2,0,10.757924157061597
157,5,4.4,5,1,69000.0,3,1,0,3,1,1,0,0,0,0,11.141876276228
158,21,2.8,5,1,67500.0,5,0,0,3,0,0,0,1,0,0,11.119897691565697
160,9,4.0,5,1,78000.0,5,0,0,3,1,0,0,0,4,0,11.264476926102367
161,19,4.0,5,1,75500.0,2,0,0,1,1,0,0,0,2,0,11.231901180182515
162,5,4.0,5,1,64500.0,2,1,0,1,2,0,0,0,3,0,11.07443600653965
163,13,3.6,5,1,61500.0,5,1,0,3,1,1,0,1,2,0,11.026808713825016
164,4,4.2,5,1,42000.0,3,1,0,1,2,0,3,1,4,0,10.645448706505872
165,15,3.7,5,1,61000.0,5,1,0,1,2,0,0,2,1,0,11.0186455364637
166,10,3.5,5,1,74000.0,4,0,0,3,2,1,0,2,0,0,11.211833885608513
167,11,3.5,5,1,68000.0,4,1,0,1,0,0,0,2,0,0,11.127277689932466
168,12,4.0,5,1,60000.0,1,1,0,3,0,1,0,0,3,0,11.002116507732017
169,4,3.7,7,1,92500.0,5,1,0,0,2,0,0,1,1,0,11.434974734252892
170,5,4.8,7,1,115000.0,4,1,0,5,0,1,3,1,3,0,11.652696102959753
171,12,4.0,7,1,109000.0,5,2,0,2,2,2,0,0,1,1,11.599112335481124
172,12,4.2,7,1,100000.0,2,1,0,1,3,0,1,4,1,0,11.51293546492023
174,12,4.9,7,1,87500.0,4,1,0,1,1,3,0,0,4,0,11.37940550085183
175,5,2.9,7,1,62000.0,3,1,0,1,1,0,0,1,0,0,11.034905792929415
176,4,3.8,7,1,80500.0,3,2,0,2,3,0,1,1,2,0,11.296024885689746
178,12,4.8,7,1,83000.0,1,2,0,4,2,1,1,0,3,0,11.326607934898927
179,12,3.9,7,1,70500.0,3,2,0,4,2,1,1,0,1,0,11.163382173096926
180,5,3.8,7,1,55000.0,3,2,0,3,1,0,0,0,3,0,10.915106645867503
181,5,4.3,7,1,125500.0,1,1,0,1,2,0,0,0,0,0,11.74006900564972
182,12,4.7,7,1,123000.0,8,0,1,3,3,0,1,0,0,0,11.719947764402807
183,15,4.1,7,1,102500.0,5,1,0,0,0,0,0,0,0,0,11.537627833610571
184,8,2.7,7,1,79000.0,5,2,0,6,2,2,1,0,5,1,11.277215789596893
186,9,4.1,7,1,83500.0,3,2,0,1,0,0,1,2,0,0,11.332613886815139
187,14,3.8,7,1,93500.0,5,0,0,2,0,1,0,0,0,0,11.44572741040675
188,12,4.2,7,1,96000.0,4,2,0,1,3,0,2,0,2,1,11.472113887062386
